Order Number,Name,Signed Date,Notes
Executive Order   7655,"Establishing Deer Flat Migratory Waterfowl Refuge, Idaho","Signed: July 12, 1937","Federal Register page and date: 2 FR 1453, July 15, 1937
Amends: 
    
    EO 1032, February 25, 1909
Revoked by: Public Land Order 1239, October 21, 1955 (20 FR 8077) (in part); Public Land Order 3047, April 26, 1963 (28 FR 4441); Public Land Order 3661, June 3, 1965 (30 FR 7521); Public Land Order 5545, October 24, 1975 (40 FR 50719) (in part)
See: Public Land Order 1060, January 26, 1955 (20 FR 687); Public Land Order 1597, March 7, 1958 (23 FR 1734); Public Land Order 3016, April 8, 1963 (28 FR 3658)
"
Executive Order   7656 ,"Modification of Executive Order of June 8, 1929, Creating Potash Reserve No. 7, New Mexico","Signed: July 13, 1937","Federal Register page and date: 2 FR 1461, July 16, 1937
Amends: Executive Order of June 8, 1929 (unnumbered series)
"
Executive Order   7657,Exemption of George C. DeHart From Compulsory Retirement for Age,"Signed: July 14, 1937 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order   7658,Restoring to the Territory of Hawaii a Portion of the Fort De Russy Military Reservation,"Signed: July 15, 1937","Federal Register page and date: 2 FR 1475, July 17, 1937
Amended by: EO 9872, July 15, 1947
"
Executive Order   7659 ,Exemption of Walter B. Luna From Compulsory Retirement for Age,"Signed: July 15, 1937","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order   7660,Exempting Certain Positions From Salary Classification,"Signed: July 17, 1937","Federal Register page and date: 2 FR 1497, July 21, 1937
Amends: 
    
    EO 6746, June 21, 1934 
"
Executive Order   7661,"Amendment of Subdivision XI, Schedule B, Civil Service Rules","Signed: July 17, 1937","Federal Register page and date: 2 FR 1497, July 21, 1937
"
Executive Order   7662,"Withdrawal of Public Lands for the Use of the Department of Agriculture, Arkansas","Signed: July 17, 1937","Federal Register page and date: 2 FR 1497, July 21, 1937 
Amends: 
    
    EO 6964, February 5, 1935
Revoked by: Proclamation 2296, August 30, 1938
"
Executive Order   7663,"Enlarging Uinta National Forest, Utah","Signed: July 17, 1937","Federal Register page and date: 2 FR 1498, July 21, 1937
"
Executive Order   7664 ,"Modifying the Seney Migratory Waterfowl Refuge, Michigan","Signed: July 17, 1937","Federal Register page and date: 2 FR 1499, July 21, 1937
Amends: 
    
    EO 6964, February 5, 1935; 
    
    EO 7246, December 10, 1935 
"
Executive Order   7665 ,"Correcting Descriptions of Boundaries of Kawaihae Lighthouse Reservation, Territory of Hawaii","Signed: July 17, 1937","Federal Register page and date: 2 FR 1499, July 21, 1937
Amends: Proclamation of April 24, 1911 (unnumbered) 
"
Executive Order   7666 ,Exemption of Albert F. Woods From Compulsory Retirement for Age,"Signed: July 17, 1937 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order   7667 ,Exemption of William H. Griffin From Compulsory Retirement for Age,"Signed: July 17, 1937","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order   7668,"Reinstatement of Foreign Service Officer, George T. Summerlin, Class I","Signed: July 19, 1937 ","Note: This Executive Order was not received for publication in the Federal Register.
"
Executive Order   7669 ,"Withdrawal of Public Lands for the Use of the Department of Agriculture, Colorado","Signed: July 19, 1937","Federal Register page and date: 2 FR 1509, July 22, 1937
Amends: 
    
    EO 6910, November 26, 1934 
"
Executive Order   7670 ,"Withdrawal of Public Lands for the Use of the Department of Agriculture, Arkansas","Signed: July 19, 1937","Federal Register page and date: 2 FR 1509, July 22, 1937
Amends: 
    
    EO 6964, February 5, 1935
Revoked by: Proclamation 2422 
"
Executive Order   7671,"Withdrawal of Public Lands for the Use of the Department of Agriculture, South Dakota","Signed: July 19, 1937","Federal Register page and date: 2 FR 1510, July 22, 1937
Amends: 
    
    EO 6910, November 26, 1934
See: Public Land Order 147, July 12, 1943 (8 FR 10578); Public Land Order 531, November 24, 1948 (13 FR 7384)
"
Executive Order   7672 ,"Withdrawal of Public Lands for the Use of the Department of Agriculture, Oregon","Signed: July 19, 1937","Federal Register page and date: 2 FR 1511, July 22, 1937
Amends: 
    
    EO 6910, November 26, 1934
See: Federal Power Commission Power Project 2030, January 21, 1958 (23 FR 368)
"
Executive Order   7673,"Withdrawal of Public Lands for the Use of the Department of Agriculture, North Dakota","Signed: July 19, 1937","Federal Register page and date: 2 FR 1512, July 2, 1937
Amends: 
    
    EO 6910, November 26, 1934 
"
Executive Order   7674 ,"Withdrawal of Public Lands for the Use of the Department of Agriculture, North Dakota","Signed: July 19, 1937","Federal Register page and date: 2 FR 1512, July 22, 1937
Amends: 
    
    EO 6910, November 26, 1934 
"
Executive Order   7675,"Withdrawal of Public Lands for the Use of the Department of Agriculture, New Mexico","Signed: July 21, 1937","Federal Register page and date: 2 FR 1535, July 24, 1937
Amends: 
    
    EO 6910, November 26, 1934 
"
Executive Order   7676 ,The Canal Zone Judiciary,"Signed: July 26, 1937","Federal Register page and date: 2 FR 1579, July 29, 1937
Supersedes: 
    
    EO 1898, March 12, 1914, 
    
    EO 2007, August 3, 1914; 
    
    EO 3965, February 26, 1924; 
    
    EO 4711, August 29, 1927; 
    
    EO 4792, January 3, 1928; 
    
    EO 5704, September 2, 1031; 
    
    EO 6390, November 3, 1933
Superseded by: EO 11305, September 12, 1966 
      (in part)
See: 
    
    EO 6166, June 10, 1933 
"
Executive Order   7677 ,"Withdrawal of Public Lands for the Use of the Department of Agriculture, Colorado","Signed: July 27, 1937","Federal Register page and date: 2 FR 1581, July 29, 1937
Amends: 
    
    EO 6910, November 26, 1934 
"
Executive Order   7677-A ,Civilian Conservation Corps,"Signed: July 26, 1937","Federal Register page and date: 2 FR 1605, July 31, 1937
Amended by: EO 7717, September 29, 1937; 
      EO 8133, May 15, 1939; EO 
      8221, August 21, 1939 
"
Executive Order   7678,"Establishing Apache Migratory Waterfowl Refuge, Arizona","Signed: July 27, 1937","Federal Register page and date: 2 FR 1581, July 29, 1937
Revoked by: Public Land Order 343, January 29, 1947 (12 FR 1023) 
"
Executive Order   7679 ,"Amendment of Subdivision II, Schedule A of the Civil Service Rules","Signed: July 30, 1937","Federal Register page and date: 2 FR 1621, August 3, 1937
"
Executive Order   7680,"Enlarging the Elk Refuge, Wyoming","Signed: July 30, 1937","Federal Register page and date: 2 FR 1621, August 3, 1937
Amends: 
    
    EO 2177, April 21, 1915; 
    
    EO 4631, April 15, 1927; 
    
    EO 4685, July 7, 1927; 
    
    EO 4857, April 16, 1928
Revokes: 
    
    EO 3741, September 29, 1922
Superseded by: Proclamation 2578, March 15, 1943 (in part) 
"
Executive Order   7681 ,"Establishing the Turnbull Migratory Waterfowl Refuge, Washington ","Signed: July 30, 1937","Federal Register page and date: 2 FR 1622, August 3, 1937
"
Executive Order   7682,Exemption of Milton F. Colburn From Compulsory Retirement for Age,"Signed: July 30, 1937 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order   7683,"Revocation of Executive Order No. 6192 of July 3, 1933, Withdrawing Public Lands, California","Signed: August 5, 1937","Federal Register page and date: 2 FR 1641, August 7, 1937
Revokes: 
    
    EO 6192, July 3, 1933 
"
Executive Order   7684 ,"Revocation of Executive Order No. 6288 of September 14, 1933, Withdrawing Public Lands, Wyoming","Signed: August 5, 1937","Federal Register page and date: 2 FR 1641, August 7, 1937
Revokes: 
    
    EO 6288, September 14, 1933 
"
Executive Order   7685,"Revocation of Executive Order No. 4699 of August 1, 1927, Withdrawing Public Lands, California","Signed: August 5, 1937","Federal Register page and date: 2 FR 1641, August 7, 1937
Revokes: 
    
    EO 4699, August 1, 1927 
"
Executive Order   7686 ,"Amendment of Executive Order No. 7302 of February 21, 1936, Transferring Certain Lands in the Virgin Islands to the Control and Jurisdiction of the Secretary of the Navy","Signed: August 5, 1937","Federal Register page and date: 2 FR 1641, August 7, 1937
Amends: 
    
    EO 7302, February 21, 1936
Amended by: EO 7790, January 12, 1938; EO 
      8103, May 2, 1939; EO 8201, July 11, 1939
"
Executive Order   7687,Extending the Provisions of the Civil Service Retirement Act to Certain Federal Employees on the Isthmus of Panama ,"Signed: August 10, 1937","Federal Register page and date: 2 FR 1665, August 13, 1937
"
Executive Order   7688 ,"Amendment of Executive Order No. 3206 of December 30, 1919, as Amended, Creating the Federal Board of Surveys and Maps","Signed: August 10, 1937","Federal Register page and date: 2 FR 1665, August 13, 1937
Amends: 
    
    EO 3206, December 30, 1919
"
Executive Order   7689 ,Appointment of Secretary of the Interior as Administrator of the Puerto Rico Reconstruction Administration,"Signed: August 12, 1937","Federal Register page and date: 2 FR 1679, August 17, 1937
Amends: 
    
    EO 7057, May 28, 1935; 
    
    EO 7180, September 6, 1935; 
    
    EO 7493, November 14, 1936
Amended by: EO 8294, November 30, 1939; EO 
      8888, September 3, 1941; EO 9278, December 
      4, 1942; EO 9618, September 19, 1945; 
      EO 9901, October 25, 1947; EO 
      10468, July 7, 1953
"
Executive Order   7690 ,Exemption of Stephen B. Soulé From Compulsory Retirement for Age,"Signed: August 13, 1937","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order   7691 ,"Establishing the Snake River Migratory Waterfowl Refuge, Idaho","Signed: August 17, 1937","Federal Register page and date: 2 FR 1701, August 20, 1937 
Revoked by: Public Land Order 3110, June 28, 1963 (28 FR 6874)
"
Executive Order   7692,Exemption of Robert C. Merritt From Compulsory Retirement for Age,"Signed: August 17, 1937 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order   7693 ,"Withdrawal of Public Lands for the Use of the Department of Agriculture, Washington","Signed: August 19, 1937","Federal Register page and date: 2 FR 1713, August 24, 1937
Amends: 
    
    EO 6964, February 5, 1935
Amended by: EO 8104, May 2, 1939
Revoked by: Public Land Order 7028, January 26, 1994 (59 FR 7226) (in part) 
"
Executive Order   7694 ,"Revocation of Executive Order No. 5667 of August 18, 1931, Withdrawing Public Lands, Wyoming","Signed: August 23, 1937","Federal Register page and date: 2 FR 1727, August 25, 1937
Revokes: 
    
    EO 5687, August 18, 1937
"
Executive Order   7695,"Withdrawal of Public Lands for the Use of the War Department for Military Purposes, Washington","Signed: August 23, 1937","Federal Register page and date: 2 FR 1727, August 25, 1937
Amends: 
    
    EO 6964, February 5, 1935
Revoked by: Public Land Order 430, December 19, 1947 (12 FR 8892) 
"
Executive Order   7696,Regulations Governing the Grades and Ratings of Enlisted Men of the Regular Army for the Fiscal Year 1938,"Signed: August 23, 1937","Federal Register page and date: 2 FR 1727, August 25, 1937
"
Executive Order   7697,"Interchange of Land Between the Army and the Navy at Bolling Field, District of Columbia","Signed: August 23, 1937","Federal Register page and date: 2 FR 1727, August 25, 1937
Amends: 
    
    EO 7215, October 26, 1935 
"
Executive Order   7698 ,"Excluding Certain Lands From the Carson National Forest, New Mexico","Signed: August 26, 1937","Federal Register page and date: 2 FR 2071, August 28, 1937
"
Executive Order   7699 ,"Abolishing Nome, Alaska, as a Customs Port of Entry","Signed: August 28, 1937","Federal Register page and date: 2 FR 2093, September 1, 1937
"
Executive Order   7700 ,"Inspection of Income, Profit, and Capital Stock Tax Returns by the Committee on Interstate Commerce, U.S. Senate","Signed: August 31, 1937","Federal Register page and date: 2 FR 2215, September 23, 1937
"
Executive Order   7701,Limiting the Importation of Red Cedar Shingles from Canada During the Last Six Months of 1937,"Signed: September 3, 1937","Federal Register page and date: 2 FR 2113, September 8, 1937
Amends: 
    
    EO 7575, March 13, 1937 
"
Executive Order   7702 ,"Amendment of Paragraph 6, Subdivision IX, Schedule A of Civil Service Rules (Office of Secretary of Agriculture)","Signed: September 6, 1937","Federal Register page and date: 2 FR 2139, September 11, 1937
"
Executive Order   7703 ,Designation of Joanne Kavanagh To Sign Land Patents,"Signed: September 10, 1937","Federal Register page and date: 2 FR 2147, September 14, 1937
"
